Relative error for h_k for two procedures, as function of k and p				
p	5.000000e-01	5.000000e-01	9.500000e-01	9.500000e-01
Proc.	1	2	1	2
k				
9805	0.101	-0.033	-0.016	-0.032
10119	0.100	-0.033	-0.016	-0.032
10443	0.100	-0.033	-0.016	-0.031
10777	0.099	-0.033	-0.016	-0.031
11122	0.098	-0.033	-0.016	-0.031
11477	0.097	-0.033	-0.016	-0.031
11844	0.096	-0.033	-0.016	-0.031
12223	0.096	-0.033	-0.016	-0.031
12614	0.095	-0.033	-0.016	-0.031
13018	0.094	-0.034	-0.016	-0.031
13434	0.093	-0.034	-0.016	-0.030
13864	0.093	-0.034	-0.016	-0.030
14308	0.092	-0.034	-0.016	-0.030
14765	0.091	-0.034	-0.016	-0.030
15238	0.090	-0.034	-0.016	-0.030
15725	0.090	-0.034	-0.016	-0.030
16228	0.089	-0.034	-0.016	-0.030
16747	0.088	-0.034	-0.016	-0.030
17283	0.087	-0.034	-0.016	-0.029
17836	0.087	-0.034	-0.016	-0.029
18406	0.086	-0.034	-0.016	-0.029
18995	0.085	-0.034	-0.016	-0.029
19603	0.085	-0.034	-0.016	-0.029
20230	0.084	-0.035	-0.016	-0.029
20877	0.083	-0.035	-0.016	-0.029
21545	0.083	-0.035	-0.015	-0.029
22234	0.082	-0.035	-0.015	-0.028
22945	0.081	-0.035	-0.015	-0.028
23679	0.081	-0.035	-0.015	-0.028
24437	0.080	-0.035	-0.015	-0.028
25218	0.079	-0.035	-0.015	-0.028
26025	0.079	-0.035	-0.015	-0.028
26858	0.078	-0.035	-0.015	-0.028
27717	0.078	-0.035	-0.015	-0.028
28603	0.077	-0.035	-0.015	-0.027
29518	0.076	-0.035	-0.015	-0.027
30463	0.076	-0.035	-0.015	-0.027
31437	0.075	-0.035	-0.015	-0.027
32443	0.075	-0.035	-0.015	-0.027
33481	0.074	-0.035	-0.015	-0.027
34552	0.073	-0.035	-0.015	-0.027
35657	0.073	-0.035	-0.015	-0.026
36798	0.072	-0.035	-0.015	-0.026
37975	0.072	-0.035	-0.015	-0.026
39190	0.071	-0.035	-0.015	-0.026
40443	0.071	-0.034	-0.015	-0.026
41737	0.070	-0.034	-0.015	-0.026
43072	0.069	-0.034	-0.015	-0.026
44450	0.069	-0.034	-0.015	-0.025
45872	0.068	-0.034	-0.015	-0.025
47339	0.068	-0.034	-0.015	-0.025
48854	0.067	-0.034	-0.015	-0.025
50416	0.067	-0.034	-0.015	-0.025
52029	0.066	-0.034	-0.014	-0.025
53694	0.066	-0.034	-0.014	-0.025
55411	0.065	-0.034	-0.014	-0.024
57184	0.065	-0.034	-0.014	-0.024
59013	0.064	-0.034	-0.014	-0.024
60901	0.064	-0.034	-0.014	-0.024
62849	0.063	-0.034	-0.014	-0.024
64859	0.063	-0.034	-0.014	-0.024
66934	0.062	-0.034	-0.014	-0.024
69075	0.062	-0.034	-0.014	-0.023
71285	0.061	-0.033	-0.014	-0.023
73565	0.061	-0.033	-0.014	-0.023
75919	0.060	-0.033	-0.014	-0.023
78347	0.060	-0.033	-0.014	-0.023
80854	0.059	-0.033	-0.014	-0.023
83440	0.059	-0.033	-0.014	-0.023
86109	0.058	-0.033	-0.014	-0.023
88864	0.058	-0.033	-0.014	-0.022
91706	0.057	-0.033	-0.014	-0.022
94640	0.057	-0.033	-0.014	-0.022
97668	0.057	-0.033	-0.014	-0.022
100792	0.056	-0.033	-0.014	-0.022
104016	0.056	-0.032	-0.013	-0.022
107344	0.055	-0.032	-0.013	-0.022
110777	0.055	-0.032	-0.013	-0.021
114321	0.054	-0.032	-0.013	-0.021
117978	0.054	-0.032	-0.013	-0.021
121752	0.054	-0.032	-0.013	-0.021
125647	0.053	-0.032	-0.013	-0.021
129666	0.053	-0.032	-0.013	-0.021
133814	0.052	-0.032	-0.013	-0.021
138095	0.052	-0.031	-0.013	-0.020
142512	0.052	-0.031	-0.013	-0.020
147071	0.051	-0.031	-0.013	-0.020
151776	0.051	-0.031	-0.013	-0.020
156631	0.050	-0.031	-0.013	-0.020
161642	0.050	-0.031	-0.013	-0.020
166812	0.050	-0.031	-0.013	-0.020
172149	0.049	-0.031	-0.013	-0.020
177655	0.049	-0.031	-0.013	-0.019
183339	0.048	-0.030	-0.013	-0.019
189203	0.048	-0.030	-0.013	-0.019
195256	0.048	-0.030	-0.012	-0.019
201502	0.047	-0.030	-0.012	-0.019
207948	0.047	-0.030	-0.012	-0.019
214600	0.047	-0.030	-0.012	-0.019
221465	0.046	-0.030	-0.012	-0.019
228549	0.046	-0.030	-0.012	-0.018
235860	0.045	-0.029	-0.012	-0.018
243405	0.045	-0.029	-0.012	-0.018
251192	0.045	-0.029	-0.012	-0.018
259227	0.044	-0.029	-0.012	-0.018
267520	0.044	-0.029	-0.012	-0.018
276077	0.044	-0.029	-0.012	-0.018
284909	0.043	-0.029	-0.012	-0.018
294023	0.043	-0.029	-0.012	-0.017
303429	0.043	-0.028	-0.012	-0.017
313135	0.042	-0.028	-0.012	-0.017
323152	0.042	-0.028	-0.012	-0.017
333489	0.042	-0.028	-0.012	-0.017
344157	0.041	-0.028	-0.012	-0.017
355167	0.041	-0.028	-0.011	-0.017
366528	0.041	-0.028	-0.011	-0.017
378253	0.040	-0.027	-0.011	-0.016
390353	0.040	-0.027	-0.011	-0.016
402840	0.040	-0.027	-0.011	-0.016
415727	0.040	-0.027	-0.011	-0.016
429026	0.039	-0.027	-0.011	-0.016
442750	0.039	-0.027	-0.011	-0.016
456913	0.039	-0.027	-0.011	-0.016
471529	0.038	-0.026	-0.011	-0.016
486613	0.038	-0.026	-0.011	-0.016
502180	0.038	-0.026	-0.011	-0.015
518244	0.037	-0.026	-0.011	-0.015
534822	0.037	-0.026	-0.011	-0.015
551931	0.037	-0.026	-0.011	-0.015
569587	0.037	-0.026	-0.011	-0.015
587807	0.036	-0.026	-0.011	-0.015
606611	0.036	-0.025	-0.011	-0.015
626016	0.036	-0.025	-0.011	-0.015
646041	0.035	-0.025	-0.011	-0.015
666708	0.035	-0.025	-0.010	-0.015
688035	0.035	-0.025	-0.010	-0.014
710045	0.035	-0.025	-0.010	-0.014
732759	0.034	-0.025	-0.010	-0.014
756199	0.034	-0.024	-0.010	-0.014
780389	0.034	-0.024	-0.010	-0.014
805354	0.034	-0.024	-0.010	-0.014
831116	0.033	-0.024	-0.010	-0.014
857703	0.033	-0.024	-0.010	-0.014
885140	0.033	-0.024	-0.010	-0.014
913455	0.033	-0.024	-0.010	-0.013
942676	0.032	-0.023	-0.010	-0.013
972831	0.032	-0.023	-0.010	-0.013
1003952	0.032	-0.023	-0.010	-0.013
1036067	0.032	-0.023	-0.010	-0.013
1069210	0.031	-0.023	-0.010	-0.013
1103413	0.031	-0.023	-0.010	-0.013
1138711	0.031	-0.023	-0.010	-0.013
1175137	0.031	-0.022	-0.010	-0.013
1212729	0.030	-0.022	-0.010	-0.013
1251523	0.030	-0.022	-0.009	-0.013
1291559	0.030	-0.022	-0.009	-0.012
1332875	0.030	-0.022	-0.009	-0.012
1375512	0.029	-0.022	-0.009	-0.012
1419514	0.029	-0.022	-0.009	-0.012
1464923	0.029	-0.022	-0.009	-0.012
1511785	0.029	-0.021	-0.009	-0.012
1560145	0.029	-0.021	-0.009	-0.012
1610053	0.028	-0.021	-0.009	-0.012
1661558	0.028	-0.021	-0.009	-0.012
1714710	0.028	-0.021	-0.009	-0.012
1769562	0.028	-0.021	-0.009	-0.012
1826169	0.027	-0.021	-0.009	-0.011
1884587	0.027	-0.020	-0.009	-0.011
1944873	0.027	-0.020	-0.009	-0.011
2007088	0.027	-0.020	-0.009	-0.011
2071293	0.027	-0.020	-0.009	-0.011
2137552	0.026	-0.020	-0.009	-0.011
2205931	0.026	-0.020	-0.009	-0.011
2276497	0.026	-0.020	-0.009	-0.011
2349321	0.026	-0.020	-0.009	-0.011
2424474	0.026	-0.019	-0.008	-0.011
2502031	0.025	-0.019	-0.008	-0.011
2582069	0.025	-0.019	-0.008	-0.011
2664667	0.025	-0.019	-0.008	-0.011
2749908	0.025	-0.019	-0.008	-0.010
2837875	0.025	-0.019	-0.008	-0.010
2928657	0.024	-0.019	-0.008	-0.010
3022342	0.024	-0.019	-0.008	-0.010
3119025	0.024	-0.018	-0.008	-0.010
3218800	0.024	-0.018	-0.008	-0.010
3321767	0.024	-0.018	-0.008	-0.010
3428027	0.024	-0.018	-0.008	-0.010
3537687	0.023	-0.018	-0.008	-0.010
3650855	0.023	-0.018	-0.008	-0.010
3767643	0.023	-0.018	-0.008	-0.010
3888167	0.023	-0.018	-0.008	-0.010
4012547	0.023	-0.017	-0.008	-0.010
4140905	0.022	-0.017	-0.008	-0.009
4273370	0.022	-0.017	-0.008	-0.009
4410072	0.022	-0.017	-0.008	-0.009
4551146	0.022	-0.017	-0.008	-0.009
4696734	0.022	-0.017	-0.008	-0.009
4846979	0.022	-0.017	-0.007	-0.009
5002030	0.021	-0.017	-0.007	-0.009
5162041	0.021	-0.016	-0.007	-0.009
5327171	0.021	-0.016	-0.007	-0.009
5497583	0.021	-0.016	-0.007	-0.009
5673447	0.021	-0.016	-0.007	-0.009
5854936	0.021	-0.016	-0.007	-0.009
6042231	0.020	-0.016	-0.007	-0.009
6235517	0.020	-0.016	-0.007	-0.009
6434987	0.020	-0.016	-0.007	-0.009
6640837	0.020	-0.016	-0.007	-0.008
6853272	0.020	-0.015	-0.007	-0.008
7072503	0.020	-0.015	-0.007	-0.008
7298747	0.020	-0.015	-0.007	-0.008
7532229	0.019	-0.015	-0.007	-0.008
7773179	0.019	-0.015	-0.007	-0.008
8021837	0.019	-0.015	-0.007	-0.008
8278449	0.019	-0.015	-0.007	-0.008
8543271	0.019	-0.015	-0.007	-0.008
8816563	0.019	-0.015	-0.007	-0.008
9098598	0.019	-0.014	-0.007	-0.008
9389656	0.018	-0.014	-0.007	-0.008
9690024	0.018	-0.014	-0.007	-0.008
10000000	0.018	-0.014	-0.007	-0.008
